Simulation , dx , dz    , l_lead , w    , l  , z   , q_surf , a     , T_freeze-T_air , Smag_2D_factor  , Ah    , Ar   , T_freeze , z_e   , TB_Ze_theory   , TB_ze_sim   , Sponges , Internal_name
S1         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.15          , 4.0             , -     , 2E-4 , -1.90    , 108.5 , 1.49           , 4.32        , -       , mrb_121_3
S2         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.05          , 4.0             , -     , 2E-4 , -1.90    , 108.5 , 1.49           , 4.24        , -       , mrb_121_2
S3         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 4.0             , -     , 2E-4 , -1.90    , 108.5 , 1.49           , 4.25        , -       , mrb_121_1
S4         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-4 , -1.90    , 108.5 , 1.49           , 4.04        , -       , mrb_120_1
S5         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 2.2             , -     , 2E-4 , -1.90    , 108.5 , 1.49           , 4.33        , -       , mrb_132   
S6         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-6 , -1.90    , 108.5 , 1.49           , 4.09        , -       , mrb_122_1   
S7         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 3.81        , -       , mrb_130     
S8         , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-3 , -1.90    , 108.5 , 1.49           , 4.08        , -       , mrb_139   
S9         , 4  , 1--11 , 200    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 2.98           , 11.22       , -       , mrb_123_1   
S10        , 4  , 1--11 , 48     , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 0.71           , 0.57        , -       , mrb_125_1   
S11        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 4.0             , -     , 2E-4 , -1.87    , 108.5 , 1.49           , 4.27        , -       , mrb_124_1   
S12        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 4.0             , -     , 2E-4 , -1.84    , 108.5 , 1.49           , 4.05        , -       , mrb_134  
S13        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.031 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 101.3 , 1.14           , 3.52        , -       , mrb_126_1
S14        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.034 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 104.9 , 1.32           , 3.94        , -       , mrb_133
S15        , 4  , 1--11 , 100    , 594  , 33 , 99  , 0      , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 3.88        , -       , mrb_129
S16        , 4  , 1--11 , 100    , 594  , 33 , 99  , 1000   , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 4.72        , -       , mrb_131
S17        , 4  , 1--11 , 100    , 297  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 4.08        , -       , mrb_135
S18        , 4  , 1--11 , 100    , 1188 , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 3.72        , -       , mrb_136
S19        , 4  , 1--11 , 100    , 297  , 33 , 99  , 200    , 0.037 , 17.25          , -               , 10E-2 , 2E-4 , -1.90    , 108.5 , 1.49           , 3.77        , -       , mrb_137
S20        , 2  , 1--8  , 100    , 594  , 66 , 198 , 200    , 0.037 , 17.25          , -               , 10E-2 , 2E-4 , -1.90    , 108.2 , 1.44           , 3.76        , -       , mrb_138
S21        , 8  , 1--11 , 96     , 147  , 17 , 99  , 200    , 0.037 , 17.25          , -               , 10E-2 , 2E-4 , -1.90    , 108.5 , 1.47           , 3.07        , -       , mrb_140_2
S22        , 16 , 1--11 , 96     , 74   , 9  , 99  , 200    , 0.037 , 17.25          , -               , 10E-2 , 2E-4 , -1.90    , 108.5 , 1.56           , 4.43        , -       , mrb_146
S23        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 4.20        , BS      , mrb_141
S24        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 17.25          , 3.1             , -     , 2E-5 , -1.90    , 108.5 , 1.49           , 4.33        , B       , mrb_142
S25        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 21.25          , 3.1             , -     , 2E-5 , -1.90    , 113.0 , 1.72           , 4.59        , -       , mrb_143
S26        , 4  , 1--11 , 100    , 594  , 33 , 99  , 200    , 0.037 , 13.25          , 3.1             , -     , 2E-5 , -1.90    , 103.0 , 1.23           , 3.51        , -       , mrb_144
